price,category,bedrooms,bathrooms,building_size,condominium_name,sku,geo_location,furnished_status,title,address,short_description,url
3757084,condo,1,1,22,Calle Centrale,CD673EAE3357E3CPH,"[121.081903,14.605396]",270,Calle Centrale QC Pre-Selling Condo: Below Market Value and No Downpayment!,"Bagumbayan, Quezon City","Don’t miss out on this limited-time offer! Secure your unit condo with our Special Promo Offer designed to fit your budget :


  0% Downpayment! (No spot Down payment!)
  20% Spread over 57 months (for as low as ₱16k-18k/month!)
  80% turnover balance thru bank or in-house financing


*INQUIRE TODAY FOR AVAILABLE UNITS AND SAMPLE COMPUTATION!*

Explore Your Options: Typical Units Available at Calle Central!

  Studio Units (22-22.65 SQM)
  Other units are also available


Expected turnover: 2029
Introducing Calle Centrale
An exciting new pre-selling condominium project strategically located in the thriving C5 corridor, near Eastwood City and Bridgetowne Estate.

This prime location offers residents unparalleled access to top business hubs, lifestyle centers, and major highways, promising high potential for value appreciation and ultimate convenience.

Live at the heart of the action with top malls like Eastwood, The Podium, and Opus just around the corner. Enjoy next-level convenience in a home designed for your lifestyle.

Redefined Luxury: More than just a home-it's a community that celebrates life's simple joys, authenticity, and sustainability, perfect for multi-generational families, end-users, and investors.

Why Invest in Calle Industria, Quezon City Condos?
1. Strategic Location: Near major CBDs-BGC (10.4KM), Pasig (4.7KM), Ortigas (5.5KM), and Makati (12.2KM).
2. Great Value: Competitive prices compared to other cities for maximum investment returns.
3. Top Connectivity: 7 of 13 metro train stations plus future MRT-7 and LRT-MRT links.
4. Highly Urbanized City: DTI's ""Most Competitive Highly Urbanized City"" for 3 years running.

Amenities:
• Fitness Gym
• Yoga Area
• Jogging Path
• Pool Area
• Playground
• Guest Lounge
• Sauna & Cold Plunge Tub
• Gazebo & Viewing Deck

If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
Yvette De Asis
Top Realty Corporation",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/calle-centrale-qc-pre-selling-condo-below-market-v-173216107550/
3737860,condo,1,1,22,Calle Centrale,CD673EAD9B4C741PH,"[121.081903,14.605396]",270,"Pre-selling Condo for Sale in QC Quezon City, Calle Central Below Market Value!","Bagumbayan, Quezon City","Don’t miss out on this limited-time offer! Secure your unit condo with our Special Promo Offer designed to fit your budget :


  0% Downpayment! (No spot Down payment!)
  20% Spread over 57 months (for as low as ₱16k-18k/month!)
  80% turnover balance thru bank or in-house financing


*INQUIRE TODAY FOR AVAILABLE UNITS AND SAMPLE COMPUTATION!*

Explore Your Options: Typical Units Available at Calle Central!

  Studio Units (22-22.65 SQM)
  Other units are also available


Expected turnover: 2029

Introducing Calle Centrale
An exciting new pre-selling condominium project strategically located in the thriving C5 corridor, near Eastwood City and Bridgetowne Estate.

This prime location offers residents unparalleled access to top business hubs, lifestyle centers, and major highways, promising high potential for value appreciation and ultimate convenience.

Live at the heart of the action with top malls like Eastwood, The Podium, and Opus just around the corner. Enjoy next-level convenience in a home designed for your lifestyle.

Redefined Luxury: More than just a home-it's a community that celebrates life's simple joys, authenticity, and sustainability, perfect for multi-generational families, end-users, and investors.

Why Invest in Calle Industria, Quezon City Condos?
1. Strategic Location: Near major CBDs-BGC (10.4KM), Pasig (4.7KM), Ortigas (5.5KM), and Makati (12.2KM).
2. Great Value: Competitive prices compared to other cities for maximum investment returns.
3. Top Connectivity: 7 of 13 metro train stations plus future MRT-7 and LRT-MRT links.
4. Highly Urbanized City: DTI's ""Most Competitive Highly Urbanized City"" for 3 years running.

Amenities:
• Fitness Gym
• Yoga Area
• Jogging Path
• Pool Area
• Playground
• Guest Lounge
• Sauna & Cold Plunge Tub
• Gazebo & Viewing Deck

If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
Yvette De Asis
Top Realty Corporation",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/pre-selling-condo-for-sale-in-qc-quezon-city-calle-173216092329/
3764292,condo,1,1,22,Calle Centrale,CD6735CC7707C77PH,"[121.081903,14.605396]",,NO DOWNPAYMENT! Pre-Selling Condo for Sale Quezon City at Calle Centrale,"Bagumbayan, Quezon City","Secure your dream home before January 31, 2025 and enjoy No Spot Down Payment!  Don’t wait lock in your unit now before prices go up! 


  0% Downpayment! (No spot Down payment!)
  20% Spread over 57 months (for as low as ₱14k-18k/month!)
  80% turnover balance thru bank or in-house financing


*INQUIRE TODAY FOR AVAILABLE UNITS AND SAMPLE COMPUTATION!*

Expected turnover: 2029

Act Fast Secure Your Condo Before January 30, 2025 Price Increase!
Don’t miss out on your chance to own a prime unit starting at just ₱14,000/month!

Why Invest Now?  

  Lock in Current Pricing: Avail your condo before the upcoming price increase!
  Flexible Payment Options: Move in with no downpayment required!
  Prime Location: Close to Eastwood, Bridgetowne, and top CBDs.


Units Available:  

  Studio, 1BR, and 2BR options to fit your lifestyle!
  Only ₱30,000 reservation fee to secure your unit.


Perfect for:

  Investors: Get in while prices are low.
  Homeowners: Live in convenience right in the city.
  Renters: Earn extra income through Airbnb or traditional rentals.  



If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
Yvette De Asis
Top Realty Corporation
Mobile/Landline Number : 0917-681-1188/ 027-503-8333
Website: www.toprealty.com.ph

Pre-selling condo for sale in Quezon City
Condo for Sale in Quezon City 
Prime location Condo in Quezon city
Preselling condominium for sale in Quezon City 
Good investment condo in Quezon City 
Property investment Quezon City 
Property for sale Quezon City 
Calle Industria Bagumbayan Quezon City 
Residential condominium for sale in QC

#Pre-sellingcondoforsaleinQuezonCity
#CondoforSaleinQuezonCity
#PrimelocationCondoinQuezoncity
#PresellingcondominiumforsaleinQuezonCity
#GoodinvestmentcondoinQuezonCity
#PropertyinvestmentQuezonCity
#PropertyforsaleQuezonCity
#CalleIndustriaBagumbayanQuezonCity
#ResidentialcondominiumforsaleinQC",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/no-downpayment-pre-selling-condo-for-sale-quezon-c-173157899975/
12500000,condo,3,2,82,Zinnia Towers,CD67984C6062788PH,"[121.076504,14.640624]",,Zinnia South Tower 3 Bedroom Quezon City DMCI Condo for Sale Below Market Value,"Katipunan, Quezon City","‼️NEW UNIT FOR SALE‼️

For Sale Condominium Unit:
PHP 12,500,000.00 Gross Price - Inclusive of CGT 

Zinnia South Tower, Zinnia Towers Along EDSA Roosevelt, Quezon City (DMCI Developer)

*Three (3) Bedroom Condominium (Converted to 2BR with walk-in closet) with 2 toilet & bath.

*With two (2) parking space near elevator (located at Level-2)

*Corner unit with two (2) balcony.

*82 square meters

*With 3 inverter air condition units (1HP & 2HP wall type and 2HP split type).

*Fully interior unit with built-in cabinets, LED lights, CCTV, granite tiles and high end fittings.

*Unit located at Atrium floor (with garden) and high-level floor (42th floor).

*Clean title and updated tax.

*CGT by seller other transfer fees shoulder by buyer.

*CASH or Bank Financing only.

-RFS, owner move-in to new House & Lot.

FOR INQUIRIES AND VIEWING
Paolo Barotilla
The Lead Realty
Under REBL 5055",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/zinnia-south-tower-3-bedroom-quezon-city-dmci-cond-17380342723/
16000000,condo,3,2,84.5,The Crestmont,CD679758068B22FPH,"[121.03282,14.63977]",,3BR Condo With Tandem Parking Crestmont DMCI Near Solaire QC,"Panay Avenue, Quezon City","DMCI Homes Proudly Develop The Crestmont Residences.
Along Panay Avenue Quezon Ave. 100 meters away from Edsa MRT.
Beside McDonald Quezon Ave Edsa QC.
Fronting Eton Centris Mall.
Near Solaire QC, trinoma.

Resale/Pasalo!

transfer of ownership Process Direct DMCI homes.

3bedroom corner unit 84 sqm 20th-floor ortigas view with tandem parking 30sqm basement 3.

Completion date: June 2025

The current market value is 17.6M
Now Selling 16M
Save as much as 1.6M

Cash out to owner:  5,157,246
Balance from DMCI  :10,842,754
The commencing date is June 2025 through a bank loan
or in-house financing.",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/3br-condo-with-tandem-parking-crestmont-dmci-near-173797171874/
2800000,condo,0,1,20,MPlace at South Triangle,CD679823F4AF34EPH,"[121.0443089,14.6621443]",,1 Studio Unit at MPlace at South Triangle in Quezon City for SALE,Quezon City,"Tower D
20 sqm
1 Studio Unit
1 Toilet & Bath
Furnished Unit
Facing Amenities
18th Floor

GROSS PRICE Php 2,800,000 Transfer to Buyer
ASSOCIATION DUES more or less Php 1,700/month

AMENITIES:
*Grand Lobby
*Children's Play Area
*Covered Gazebos
*Pool Deck
*Landscaped Area
*Swimming Pools
*Sky Lounge with Function Rooms
*Penthouse Lobby

BUILDING FACILITIES & UTILITIES:
*Commercial Area at the Ground Floor
*9 Elevators: 6 Passenger Elevators,
*1 Service Elevator, 2 Small Passenger
*Elevators (Access to 40th Floor)
*Standby Generator Set for Common Areas & Select Unit Outlets
*Centralized Garbage Collection Area
*Automatic Fire Sprinkler System
*Mailroom
*Overhead Water Tank

SERVICES:
*24-hour security
*Front desk
*CCTV system on selected areas
*Property management service

NEARBY ESTABLISHMENTS:
*Trinoma Mall – ~3.5 km
*SM North Edsa – ~4 km
*Ateneo de Manila University – ~5 km
*University of the Philippines Diliman – ~5.5 km
*Miriam College – ~3.5 km
*Quezon City General Hospital – ~2.5 km
*St. Luke’s Medical Center - Quezon City – ~4 km
*MRT-3 North Avenue Station – ~4 km
*Quezon Avenue (LRT-1 Extension) – ~3.5 km
*Maginhawa Street – ~2 km
*Timog Avenue – ~1.5 km
*Quezon City Hall – ~2 km
*National Housing Authority – ~3 km
*Quezon Memorial Circle – ~4 km

WHY INVEST AT MPLACE IN QUEZON CITY?
*South Triangle is at the heart of Quezon City, making it accessible to major business districts, schools, hospitals, and shopping centers. It’s also near key transport hubs like MRT stations, which adds convenience for both residents and tenants.
*Quezon City is a bustling area with continuous development, leading to rising demand for residential, commercial, and rental spaces. MPlace, being in a central location, stands to benefit from this growth.
*MPlace offers modern amenities such as swimming pools, gyms, and function rooms, making it an attractive option for people looking for comfortable, city living. These amenities also contribute to higher rental yields if you plan to rent out the property.
*The area around South Triangle is known for its lively and progressive community. The mix of residential, business, and lifestyle spaces creates a dynamic environment that appeals to young professionals and families alike.

#MPlaceSouthTriangle
#StudioUnitForSale
#LaTheozRealty
#RealEstateSolutionServices
#Number1RecommendedRealtor
#InvestmentInQuezonCity
#BestRealtor
#TopBrokerageInManila
#TrustworthyBrokers
#LaTheoz",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/1-studio-unit-at-mplace-at-south-triangle-in-quezo-17380239242/
10800000,condo,1,1,51,Shang Summit,CD670F2F9D530ECPH,"[121.035979,14.637561]",270,The Shang Summit Condo unit in Quezon City by Shang Properties,"South Triangle, Quezon City","Elevate your lifestyle with a prestigious condo unit for sale in Shang Summit by Shang Properties Quezon City, Metro Manila

Don’t miss out on this limited-time offer! Secure your luxury condo with our Special Promo Offer designed to fit your budget :


  5(3) – 5(6) – 20(62) – 70
  5% down payment in 3 months
  5% over the next 6 months
  20% payable over 62 months
  70% balance on completion


Explore Your Options: Typical Units Available at Shang Summit
Unit type Floor Area (sqm) Prices start at (P)



  One-Bedroom (51-70.82 SQM) P 14M – 20M
  “Other units are also available”


Expected turnover: 2030

Shang Summit is set to redefine luxury living in Quezon City. This iconic twin-tower condominium, a masterpiece by Shang Properties, promises an unparalleled residential experience. boasts a stunning architectural design that exudes elegance and sophistication.

If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
** JACKSON LIM JR.
** Licensed Real Estate Broker - PRC#0005478
** Top Realty Corporation",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/the-shang-summit-condo-unit-in-quezon-city-by-shan-173787193720/
8155000,condo,1,1,37.5,Avida Towers Cloverleaf,CD60D00DC1A0059PH,"[121.0016279564,14.6541841262]",,1BR Condo Unit w/ Balcony for Sale at Avida Towers Cloverleaf – Tower 2 in Quezon Cit...,"Balingasa, Quezon City","Avida Towers Cloverleaf Tower 2 is a residential condominium development located in Ayala Land's masterplanned estate community in Balintawak, Quezon City.   Located within Ayala Land's master-planned estate community in Balintawak, Quezon City. WIth several major transportation infrastructures close to the project. A short walk away from Ayala Malls Cloverleaf. Near Skyway Stage 3   Amenities:  Clubhouse Children’s Play Area Adult Pool Kiddie Pool Indoor Gym Serenity Garden   Address: A. Bonifacio Ave., Balintawak, Brgy. Balingasa, Quezon City, Metro Manila DHSUD LS No. 035148 HLURB ENCR AA-2018/09-2244 Completion Date: October 2024",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/avida-towers-cloverleaf-1/1br-condo-unit-w-balcony-for-sale-at-avida-towers-173024847784/
6301200,condo,2,1,35.6,Suntrust Shanata,CD5E2004A9244B9PH,"[121.0198457392,14.6814855146]",270,"2-Bedroom Condo Unit for Sale in Novaliches, Quezon City at Suntrust Shanata","Novaliches, Quezon City","Suntrust Shanata: A Serene Condominium in Novaliches, Quezon City  About Suntrust Shanata Suntrust Shanata is a thoughtfully designed condominium community in Novaliches, Quezon City, bringing together the best of city accessibility and natural tranquility. With a name derived from the Sanskrit word for ""tranquil,"" Shanata offers a peaceful escape within a thriving neighborhood. Comprising studio, two-bedroom, and three-bedroom units, this community caters to families and individuals looking for a balanced lifestyle.  Suntrust Shanata Features and Amenities Developed by Suntrust, Shanata presents residents with a resort-style experience, complete with recreational amenities and a strategic location that brings all essential destinations within easy reach. These include:  Two-story clubhouse with a lounge area, function rooms, and gym 25-meter lap pool and kiddie pool Paved sunbathing deck and pool lounge Children’s playground Gazebo area Function rooms and changing rooms   Building features include a property management office, 24-hour security, a centralized mail area, automatic fire sprinklers in all units, emergency backup power for selected areas, and ample water supply through an overhead water tank and underground cistern.  Why Suntrust Shanata Is a Perfect Condominium Option in Novaliches, Quezon City Suntrust Shanata offers a unique blend of city living and serene comfort, making it an ideal choice for families and professionals alike. Its well-planned clusters ensure privacy and a low-density environment, enhancing the sense of peace. With its comprehensive amenities, residents can enjoy a well-rounded lifestyle right within the community. Additionally, the strategic location in Quezon City allows residents quick access to transportation, schools, and business hubs.  Suntrust Shanata Location Situated along Quirino Highway in Brgy. Talipapa, Novaliches, Quezon City, Suntrust Shanata is perfectly positioned for easy commuting and access to essential destinations. Key transport hubs and nearby landmarks include:  Tandang Sora MRT-7 Station Mindanao Avenue MRT-7 Station Tandang Sora Terminal   How to Get to Suntrust Shanata Getting to Suntrust Shanata is easy via public transport or private car:  By Public Transport: Suntrust Shanata is accessible via the MRT-7 stations at Tandang Sora and Mindanao Avenue. By Car: Take Quirino Highway in Novaliches, Quezon City.   Financing Options Suntrust Shanata offers flexible financing options, including in-house financing and bank financing. For bank financing, choose between the following accredited banks:  BPI BDO AUB UnionBank   HLURB LTS No. 29241 Turnover Date: 2020-2022",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/suntrust-shanata/2-bedroom-condo-unit-for-sale-in-novaliches-quezon-171194834668/
7455240,condo,2,1,39,Suntrust Asmara,CD5B57EE56CB91CPH,"[121.0228079949,14.6211236045]",270,"2-Bedroom Condo Unit for Sale in New Manila, Quezon City at Suntrust Asmara","New Manila, Quezon City","Suntrust Asmara: A Premium Condominium in New Manila, Quezon City  About Suntrust Asmara Suntrust Asmara is a premier three-tower condominium community nestled along E. Rodriguez Avenue in New Manila, Quezon City. Built with a low-density design, Suntrust Asmara provides an elegant and tranquil living space in the heart of the city. The project spans 7,685 square meters and includes approximately 1,663 units, including:  Studio One-bedroom Two-bedroom Three-bedroom   Suntrust Asmara Features and Amenities Suntrust Asmara offers a variety of amenities that balance relaxation, recreation, and convenience, enhancing residents’ living experiences. Enjoy the 20-meter lap pool, pool lounge, kiddie pool, sunbathing area, Zen garden, and jogging path. A kid’s play area and indoor playroom is perfect for families with children, while function rooms and multipurpose areas provide a place for socializing.  Why Suntrust Asmara Is a Perfect Condominium Option in New Manila, QC Designed for families and individuals seeking modern convenience, Suntrust Asmara offers easy access to essential destinations such as health centers, educational institutions, and leisure spots, making it the ideal sanctuary for urban dwellers. With a variety of unit options and flexible payment terms, Suntrust Asmara is an ideal choice for families and professionals looking for an accessible, sophisticated, and well-rounded lifestyle in Metro Manila.  Suntrust Asmara Location Located along E. Rodriguez Avenue in New Manila, Quezon City, Suntrust Asmara is close to major transportation hubs and landmarks, including:  Araneta Tricycle Terminal J. Ruiz LRT-2 Station Jeepney Terminal Avenida Gilmore LRT-2 Station V. Mapa LRT-2 Station   This strategic location ensures convenient travel within Quezon City and beyond.  How to Get to Suntrust Asmara From Araneta Tricycle Terminal, J. Ruiz Station, and other nearby LRT-2 stations, it’s a quick ride to Suntrust Asmara. For those coming from other parts of Metro Manila, the property is easily accessible by jeepney, tricycle, or private vehicle along E. Rodriguez Avenue, providing excellent connectivity for residents and visitors alike.  Financing Options Suntrust Asmara offers various unit types and flexible payment terms, catering to a wide range of lifestyle and budget requirements. In-house financing is available, while accredited banks for bank financing include BPI, BDO, AUB, and UnionBank.  HLURB LTS No. 029950 Turnover Date: 2019",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/asmara/2-bedroom-condo-unit-for-sale-in-new-manila-quezon-171194834792/
